x,y,z
21.62083176244221,-20.650715271838422,20.48497982496359
22.97578512718457,-24.091103416167364,30.461936378427303
14.96991309250149,-26.07094306393866,25.790554367500338
23.95831346981468,-16.879400914739225,23.1417275463214
19.938766135765427,-24.48627185742916,20.37902279096863
16.61419144243944,-15.124401332911244,19.264713092489306
15.872514016037442,-21.606929208264965,22.06465727137812
17.181377235980126,-24.111101977832156,21.218436057459563
21.224832855543614,-22.53471587685565,17.644808471908387
21.16024968678818,-27.24042170748662,12.962681128117223
16.40777889373782,-21.067235758559235,21.554537827990025
27.376781084747762,-15.711701883989903,19.200307350182864
19.904918960486555,-25.012646823189044,19.90743432003805
18.55670680539931,-18.386407198309552,15.863845282238385
22.596732571205862,-12.33630543498711,19.456199257715713
22.008558610494706,-16.549280041444437,17.993897640570818
21.120462409052084,-19.937037996091025,20.48838049274416
16.13495108072267,-19.877449128705287,22.489991456227248
27.25571803897521,-15.203645869573965,30.765912287557782
16.163262185559752,-15.63839681639661,20.91671002869176
30.94901466608836,-24.041491426775757,15.80139078909612
17.00303677277989,-30.619478621549035,17.371224891596196
16.20433669223151,-19.24803106761896,21.708779878885796
29.380854196079433,-15.247880809069748,17.115481721687985
15.50792664325821,-17.540404142467473,13.398833964896788
29.15729382927177,-14.102799396393564,17.654121739476476
11.434327354545612,-13.230638129172936,19.42730077373691
26.189081559867308,-27.972138293971835,17.003124885231134
20.026218498590914,-19.76509703117629,17.74967264260378
23.114249661737492,-25.338102146912973,19.288102574893532
20.601478158559495,-17.427805829706255,23.55807439044445
14.376789540810654,-27.67057085367811,26.388384109492545
21.661570059897958,-23.74243268278277,27.755759877612615
20.578373171464293,-14.103514079680867,20.337592407050543
30.303739624409936,-11.223295787783979,18.75517925760463
24.85785475477178,-16.773120252074264,26.843157787661745
15.175382697099478,-16.569742700007804,25.29212243424794
11.206302567884428,-25.916292563328874,9.803839111199498
18.652965827777212,-16.41228872102019,27.51178526048014
20.370473902098876,-11.85692227214354,13.099492708925542
11.483087803224226,-20.277738494483096,21.920327244696537
19.836526259529535,-30.337210500199383,19.55439980243606
13.477652497475734,-16.651637255849806,21.83299123048424
15.300601068363225,-22.569334586683468,14.703932390555241
-20.31339548636586,24.775711602506192,-24.92863023167772
-17.479767422410777,17.348711908137794,-23.96436416131172
-20.535151799772787,14.823788387903129,-22.76824652673591
-25.989389462944242,29.823625664581947,-19.823682240141355
-23.49862753996293,21.06989955367111,-20.56164024845415
-21.104847997666116,23.070833500217127,-16.212461449763474
-22.65250573805264,17.1209087967766,-21.37525848575822
-31.509605823677923,12.42404468900724,-13.165628662777376
-11.775161432493581,18.75481980221811,-17.117215184721168
-18.443749227282318,35.39440404227619,-14.402125442827117
-20.639587957403833,15.222297796997871,-28.03223160128786
-18.982681820663885,16.218246273578483,-27.11126854798837
-23.232864421212632,14.592259981928025,-11.564291824637177
-15.591801215252747,19.960136793416915,-12.60027930554987
-19.61315846176191,15.693578993358681,-12.384379613651713
-17.305449781576705,14.813769228367718,-20.95169339041804
-24.378091266923786,13.08600134517832,-15.369112262341794
-10.452916797649348,13.007162130904295,-17.185153816547146
-23.253212845609134,17.56437308117652,-22.961969621194346
-24.31995384839908,20.242608139724133,-24.15475058205519
-18.647715871100807,19.748809452754315,-21.19474023433205
-24.53781831020799,17.116143347158335,-16.22304387087122
-17.495414061878098,15.112223776007244,-19.50333847285387
-16.243064383141053,11.652973594393142,-17.283199038100324
-23.313118794729235,22.852993342965796,-23.816295782712583
-29.024410503322596,11.862287810584187,-19.75957526669309
-18.70138749139259,15.478416874477958,-16.80703770611313
-28.3076003113448,19.66960100676342,-26.055080998812283
-23.259180539010796,20.23699335658207,-24.30206682641976
-21.922777721149128,25.0314640460722,-22.884459347615746
-15.821539439674291,14.35146572671191,-17.350979110423587
-12.792156896710498,7.6417774993635526,-23.984476277352385
-17.1146393640973,18.984773069785035,-18.144270633143456
-23.019925933579103,20.4329489373645,-20.778386176960396
-14.161089691700964,21.272104216506065,-18.31198668962399
-22.059384830612338,17.561968879637533,-22.162790939098105
